Row  ,Par1 ,Par2 ,Smp1 ,Par3 ,Par4 ,Smp2 ,Inst# ,InstName      ,Smp1Desc ,Smp1Note ,Smp2Desc ,Smp2Note
002b ,0031 ,0057 ,002f ,0012 ,0057 ,002f ,06    ,JAZZORGAN     ,SineM2   ,A3       ,SineM2   ,A3
002c ,0031 ,0047 ,0033 ,0012 ,0047 ,0033 ,06    ,JAZZORGAN     ,SineW2   ,A3       ,SineW2   ,A3
002d ,0031 ,0057 ,0030 ,0012 ,0057 ,0030 ,06    ,JAZZORGAN     ,SineM2   ,A4       ,SineM2   ,A4
002e ,0031 ,0047 ,0034 ,0012 ,0047 ,0034 ,06    ,JAZZORGAN     ,SineW2   ,A4       ,SineW2   ,A4

002f ,0037 ,00dd ,0035 ,0012 ,00dd ,0035 ,07    ,SYNTHBASS     ,EBass1   ,A1       ,EBass1   ,A1
0030 ,0037 ,00dd ,0036 ,0012 ,00dd ,0036 ,07    ,SYNTHBASS     ,EBass1   ,A2       ,EBass1   ,A2
0031 ,0037 ,00dd ,0037 ,0012 ,00dd ,0037 ,07    ,SYNTHBASS     ,EBass1   ,A4       ,EBass1   ,A4

0032 ,0000 ,0094 ,0039 ,0031 ,005d ,0039 ,08    ,CATHEDRAL     ,SawW1    ,A1       ,SawW1    ,A1
0033 ,0000 ,0032 ,003d ,0018 ,0032 ,0042 ,08    ,CATHERDAL     ,Organ1   ,A0       ,SineM3   ,A0
0034 ,0037 ,005d ,0038 ,0031 ,005d ,0038 ,08    ,CATHEDRAL     ,SawW1    ,A1       ,SawW1    ,A1
0035 ,0000 ,0032 ,003e ,0018 ,0032 ,0043 ,08    ,CATHEDRAL     ,Organ1   ,A1       ,SineM3   ,A1
0036 ,0037 ,005d ,003a ,0031 ,005d ,003a ,08    ,CATHEDRAL     ,SawW1    ,A2       ,SawW2    ,A2
0037 ,0000 ,0032 ,003f ,0018 ,0032 ,0044 ,08    ,CATHEDRAL     ,Organ1   ,A2       ,SineM3   ,A2
0038 ,0037 ,005d ,003b ,0031 ,005d ,003b ,08    ,CATHEDRAL     ,SawW1    ,A3       ,SawW1    ,A3
0039 ,0000 ,0032 ,0040 ,0018 ,0032 ,0045 ,08    ,CATHEDRAL     ,Organ1   ,A3       ,SineM3   ,A3
003a ,0037 ,005d ,003c ,0031 ,005d ,003c ,08    ,CATHEDRAL     ,SawW1    ,A4       ,SawW1    ,A4
003b ,0000 ,0032 ,0041 ,0018 ,0032 ,0046 ,08    ,CATHEDRAL     ,Organ1   ,A4       ,SineM3   ,A4

